comparison_id,trial_id,analysis_tier,grade_basis,ae_concept,source_1,source_2,observation_id_1,observation_id_2,document_id_1,document_id_2,locator_1,locator_2,term_1,term_2,grade_category_1,grade_category_2,seriousness_1,seriousness_2,causality_1,causality_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_population_1,analysis_population_2,confirmation_question,confirmation_status
FULLCOMP000111,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,serious_adverse_event,publication,FDA review,PUBCORE00019,FDACORE00012,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p7 and appendix Table S1 p10,"Table 27, FDA review p148",Serious adverse events,Serious TEAEs (SAEs),all grades,all grades,serious,serious,all-cause,all-cause,95,95,40.0,40.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000119,TRIAL002,primary_candidate,automatic_A_from_full_cohort_matrix,serious_adverse_event,publication,FDA review,PUBCORE00020,FDACORE00019,PUB_DREAMM_MAIN,FDA_ADC009_MDR_761158_ORIG1,main article p7 and appendix Table S1 p10,"Table 27, FDA review p148",Serious adverse events,Serious TEAEs (SAEs),all grades,all grades,serious,serious,all-cause,all-cause,99,99,47.0,48.0,1.00,3.4 mg/kg safety population,DREAMM-2 safety population,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000131,TRIAL003,primary_candidate,automatic_A_from_full_cohort_matrix,any_adverse_event,publication,FDA review,PUBCORE00031,FDAEXP00002,PUB_EV201_MAIN,FDA_ADC006_MDR_761137_ORIG1,"Table A3, PDF p17","Table 74, FDA review pp184-185",All adverse events,Drug-related TEAE,all grades,all grades,any,any,treatment-related,treatment-related,125,125,94.0,93.6,0.40,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000132,TRIAL003,primary_candidate,automatic_A_from_full_cohort_matrix,any_adverse_event,publication,FDA review,PUBCORE00033,FDAEXP00001,PUB_EV201_MAIN,FDA_ADC006_MDR_761137_ORIG1,"Table A4, PDF p17","Table 74, FDA review pp184-185",All adverse events,TEAE,all grades,all grades,any,any,all-cause,all-cause,125,125,100.0,100.0,0.00,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000137,TRIAL003,primary_candidate,automatic_A_from_full_cohort_matrix,fatal_adverse_event,publication,FDA review,PUBCORE00035,FDAEXP00006,PUB_EV201_MAIN,FDA_ADC006_MDR_761137_ORIG1,main text p7,"Table 74, FDA review pp184-185",Treatment-related death outside safety reporting period,Drug-related TEAE leading to death,grade 5,grade 5,fatal,fatal,treatment-related,treatment-related,125,125,0.8,0.0,0.80,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000143,TRIAL003,primary_candidate,automatic_A_from_full_cohort_matrix,grade_3_or_higher_adverse_event,publication,FDA review,PUBCORE00032,FDAEXP00013,PUB_EV201_MAIN,FDA_ADC006_MDR_761137_ORIG1,"Table A3, PDF p17","Table 74, FDA review pp184-185",All adverse events,Drug-related TEAE with NCI-CTCAE >= Grade 3,grade >=3,grade >=3,any,any,treatment-related,treatment-related,125,125,54.0,54.4,0.40,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000144,TRIAL003,primary_candidate,automatic_A_from_full_cohort_matrix,grade_3_or_higher_adverse_event,publication,FDA review,PUBCORE00034,FDAEXP00012,PUB_EV201_MAIN,FDA_ADC006_MDR_761137_ORIG1,"Table A4, PDF p17","Table 74, FDA review pp184-185",All adverse events,TEAE with NCI-CTCAE >= Grade 3,grade >=3,grade >=3,any,any,all-cause,all-cause,125,125,73.0,72.8,0.20,safety analysis set,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000146,TRIAL003,primary_candidate,P1_recommended_A,serious_adverse_event,ClinicalTrials.gov,FDA review,CTEXP000032,FDAEXP00003,CTGOV_NCT03219333,FDA_ADC006_MDR_761137_ORIG1,adverseEventsModule.eventGroups,"Table 74, FDA review pp184-185",Participants affected by serious adverse events,Serious TEAE,all grades,all grades,serious,serious,all-cause,all-cause,125,125,47.200,46.4,0.80,ClinicalTrials.gov adverse event group summary,EV-201 Cohort 1 1.25 mg/kg FDA safety analysis group,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000150,TRIAL004,primary_candidate,automatic_A_from_full_cohort_matrix,adverse_event_leading_to_discontinuation,publication,FDA review,PUBCORE00039,FDACORE00028,PUB_IMMU_APP,FDA_ADC008_MDR_761115_ORIG1,"Supplementary Table S1, appendix p18",FDA review text p87,Discontinued treatment due to adverse event,Discontinued trial therapy due to TEAEs,all grades,all grades,discontinuation,discontinuation,all-cause,all-cause,108,108,2.8,4.6,1.80,mTNBC efficacy population,mTNBC efficacy cohort,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000259,TRIAL014,primary_candidate,P1_recommended_A,serious_adverse_event,publication,ClinicalTrials.gov,PUBEXP00015,CTEXP000107,EXPUB_TRIAL014_0001,CTGOV_NCT04697628,"Supplementary Table S7, page_or_unit 36",adverseEventsModule.eventGroups,Patients with >=1 treatment-emergent serious adverse event,Participants affected by serious adverse events,all grades,all grades,serious,serious,all-cause,all-cause,250,250,32.8,32.800,0.00,publication safety population,ClinicalTrials.gov adverse event group summary,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000262,TRIAL014,primary_candidate,P1_recommended_A,serious_adverse_event,publication,ClinicalTrials.gov,PUBEXP00020,CTEXP000110,EXPUB_TRIAL014_0001,CTGOV_NCT04697628,"Supplementary Table S7, page_or_unit 36",adverseEventsModule.eventGroups,Patients with >=1 treatment-emergent serious adverse event,Participants affected by serious adverse events,all grades,all grades,serious,serious,all-cause,all-cause,239,239,39.3,39.331,0.03,publication safety population,ClinicalTrials.gov adverse event group summary,"Confirm same arm, denominator, AE definition, and source values before final primary analysis.",auto_source_confirmed
FULLCOMP000003,TRIAL001,sensitivity_candidate,P3_P4_recommended_B,any_adverse_event,publication,FDA review,PUBCORE00001,FDACORE00001,PUB_DESTINY_APP,FDA_ADC007_MDR_761139_ORIG1,"Supplementary Table S3, appendix p11","Table 41, FDA review p183",TEAEs,Subjects with Any TEAE,all grades,all grades,any,any,all-cause,all-cause,184,234,99.5,99.6,0.10,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000005,TRIAL001,sensitivity_candidate,P3_P4_recommended_B,dose_interruption,publication,FDA review,PUBCORE00011,FDACORE00007,PUB_DESTINY_APP,FDA_ADC007_MDR_761139_ORIG1,"Supplementary Table S3, appendix p11","Table 38, FDA review p177",TEAEs leading to dose interruption,Any TEAE associated with dose interruption,all grades,all grades,dose_interruption,dose_interruption,all-cause,all-cause,184,234,35.3,33.3,2.00,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000040,TRIAL001,sensitivity_candidate,P3_P4_recommended_B,serious_adverse_event,publication,FDA review,PUBCORE00005,FDACORE00003,PUB_DESTINY_APP,FDA_ADC007_MDR_761139_ORIG1,"Supplementary Table S3, appendix p11","Table 35, FDA review p174",Serious TEAEs,Subjects with Any Serious TEAE,all grades,all grades,serious,serious,all-cause,all-cause,184,234,22.8,20.1,2.70,RP2D safety population,HER2-positive breast cancer 5.4 mg/kg FDA safety pool,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000106,TRIAL002,sensitivity_candidate,P1_recommended_B,serious_adverse_event,publication,ClinicalTrials.gov,PUBCORE00019,CTEXP000017,PUB_DREAMM_MAIN,CTGOV_NCT03525678,main article p7 and appendix Table S1 p10,adverseEventsModule.eventGroups,Serious adverse events,Participants affected by serious adverse events,all grades,all grades,serious,serious,all-cause,all-cause,95,95,40.0,45.263,5.26,2.5 mg/kg safety population,ClinicalTrials.gov adverse event group summary,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000114,TRIAL002,sensitivity_candidate,P1_recommended_B,serious_adverse_event,publication,ClinicalTrials.gov,PUBCORE00020,CTEXP000020,PUB_DREAMM_MAIN,CTGOV_NCT03525678,main article p7 and appendix Table S1 p10,adverseEventsModule.eventGroups,Serious adverse events,Participants affected by serious adverse events,all grades,all grades,serious,serious,all-cause,all-cause,99,99,47.0,53.535,6.53,3.4 mg/kg safety population,ClinicalTrials.gov adverse event group summary,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000120,TRIAL002,sensitivity_candidate,P1_recommended_B,serious_adverse_event,ClinicalTrials.gov,FDA review,CTEXP000017,FDACORE00012,CTGOV_NCT03525678,FDA_ADC009_MDR_761158_ORIG1,adverseEventsModule.eventGroups,"Table 27, FDA review p148",Participants affected by serious adverse events,Serious TEAEs (SAEs),all grades,all grades,serious,serious,all-cause,all-cause,95,95,45.263,40.0,5.26,ClinicalTrials.gov adverse event group summary,DREAMM-2 safety population,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
FULLCOMP000123,TRIAL002,sensitivity_candidate,P1_recommended_B,serious_adverse_event,ClinicalTrials.gov,FDA review,CTEXP000020,FDACORE00019,CTGOV_NCT03525678,FDA_ADC009_MDR_761158_ORIG1,adverseEventsModule.eventGroups,"Table 27, FDA review p148",Participants affected by serious adverse events,Serious TEAEs (SAEs),all grades,all grades,serious,serious,all-cause,all-cause,99,99,53.535,48.0,5.53,ClinicalTrials.gov adverse event group summary,DREAMM-2 safety population,Confirm population mismatch/time-window rationale is acceptable for sensitivity analysis only.,auto_source_confirmed
